,precision,recall,f1-score,support
BILLY QUARANTILLO,0.0,0.0,0.0,0.0
BILLY RAY GOFF,0.0,0.0,0.0,0.0
BJ PENN,0.0,0.0,0.0,0.0
BLAGOY IVANOV,0.0,0.0,0.0,1.0
BLAKE BILDER,0.0,0.0,0.0,0.0
BO NICKAL,0.0,0.0,0.0,0.0
BOB COOK,0.0,0.0,0.0,0.0
BOGDAN GRAD,0.0,0.0,0.0,0.0
BOGDAN GUSKOV,0.0,0.0,0.0,3.0
BOJAN VELICKOVIC,0.0,0.0,0.0,0.0
BOLAJI OKI,0.0,0.0,0.0,0.0
BRAD BLACKBURN,0.0,0.0,0.0,1.0
BRAD KATONA,0.0,0.0,0.0,1.0
BRAD KOHLER,0.0,0.0,0.0,0.0
BRAD PICKETT,0.0,0.0,0.0,3.0
BRAD RIDDELL,0.0,0.0,0.0,0.0
BRAD SCOTT,0.0,0.0,0.0,0.0
BRAD TAVARES,0.0,0.0,0.0,0.0
BRADY HIESTAND,0.0,0.0,0.0,0.0
BRANDEN LEE HINKLE,0.0,0.0,0.0,0.0
BRANDON DAVIS,0.0,0.0,0.0,0.0
BRANDON MORENO,0.0,0.0,0.0,4.0
BRANDON ROYVAL,0.0,0.0,0.0,1.0
BRANDON THATCH,0.0,0.0,0.0,0.0
BRANDON VERA,0.0,0.0,0.0,2.0
BRENDAN ALLEN,0.0,0.0,0.0,2.0
BRENDAN O'REILLY,0.0,0.0,0.0,0.0
BRENDAN SCHAUB,0.0,0.0,0.0,0.0
BRENDSON RIBEIRO,0.0,0.0,0.0,0.0
BRETT JOHNS,0.0,0.0,0.0,2.0
BRIAN BOWLES,0.0,0.0,0.0,0.0
BRIAN EBERSOLE,0.0,0.0,0.0,1.0
BRIAN FOSTER,0.0,0.0,0.0,0.0
BRIAN JOHNSTON,0.0,0.0,0.0,0.0
BRIAN KELLEHER,0.0,0.0,0.0,2.0
BRIAN MELANCON,0.0,0.0,0.0,0.0
BRIAN ORTEGA,0.0,0.0,0.0,0.0
BRIAN STANN,0.0,0.0,0.0,1.0
BRIANNA FORTINO,0.0,0.0,0.0,0.0
BROCK LARSON,0.0,0.0,0.0,0.0
BROCK LESNAR,0.0,0.0,0.0,1.0
BROK WEAVER,0.0,0.0,0.0,0.0
BRUNA BRASIL,0.0,0.0,0.0,1.0
BRUNNO FERREIRA,0.0,0.0,0.0,0.0
BRUNO LOPES,0.0,0.0,0.0,0.0
BRUNO SANTOS,0.0,0.0,0.0,0.0
BRUNO SILVA,0.0,0.0,0.0,2.0
BRYAN BARBERENA,0.0,0.0,0.0,3.0
BRYAN BATTLE,0.0,0.0,0.0,0.0
BRYAN CARAWAY,0.0,0.0,0.0,0.0
BRYCE MITCHELL,0.0,0.0,0.0,1.0
BUDDY ROBERTS,0.0,0.0,0.0,0.0
CAIN VELASQUEZ,0.0,0.0,0.0,1.0
CAIO BORRALHO,0.0,0.0,0.0,1.0
CAIO MAGALHAES,0.0,0.0,0.0,2.0
CAL WORSHAM,0.0,0.0,0.0,0.0
CALLAN POTTER,0.0,0.0,0.0,0.0
CALVIN KATTAR,0.0,0.0,0.0,2.0
CAMERON SAAIMAN,0.0,0.0,0.0,1.0
CAMERON SMOTHERMAN,0.0,0.0,0.0,0.0
CAOL UNO,0.0,0.0,0.0,1.0
CAOLAN LOUGHRAN,0.0,0.0,0.0,1.0
CARLA ESPARZA,0.0,0.0,0.0,1.0
CARLI JUDICE,0.0,0.0,0.0,0.0
CARLO PEDERSOLI JR.,0.0,0.0,0.0,0.0
CARLO PRATER,0.0,0.0,0.0,1.0
CARLOS CONDIT,0.0,0.0,0.0,1.0
CARLOS EDUARDO ROCHA,0.0,0.0,0.0,1.0
CARLOS FELIPE,0.0,0.0,0.0,2.0
CARLOS HERNANDEZ,0.0,0.0,0.0,0.0
CARLOS LEAL,0.0,0.0,0.0,1.0
CARLOS NEWTON,0.0,0.0,0.0,1.0
CARLOS PRATES,0.0,0.0,0.0,1.0
CARLOS ULBERG,0.0,0.0,0.0,1.0
CARLOS VERA,0.0,0.0,0.0,0.0
CARLSTON HARRIS,0.0,0.0,0.0,0.0
CARMELO MARRERO,0.0,0.0,0.0,0.0
CASEY KENNEY,0.0,0.0,0.0,2.0
CASEY O'NEILL,0.0,0.0,0.0,0.0
CAT ZINGANO,0.0,0.0,0.0,1.0
CATHAL PENDRED,0.0,0.0,0.0,2.0
CB DOLLAWAY,0.0,0.0,0.0,1.0
CESAR ALMEIDA,0.0,0.0,0.0,0.0
CEZAR FERREIRA,0.0,0.0,0.0,2.0
CHAD ANHELIGER,0.0,0.0,0.0,1.0
CHAD LAPRISE,0.0,0.0,0.0,0.0
CHAD MENDES,0.0,0.0,0.0,2.0
CHAEL SONNEN,0.0,0.0,0.0,2.0
CHAN SUNG JUNG,0.0,0.0,0.0,1.0
CHANCE RENCOUNTRE,0.0,0.0,0.0,0.0
CHANGHO LEE,0.0,0.0,0.0,0.0
CHARLES BYRD,0.0,0.0,0.0,1.0
CHARLES JOHNSON,0.0,0.0,0.0,4.0
CHARLES JOURDAIN,0.0,0.0,0.0,2.0
CHARLES MCCARTHY,0.0,0.0,0.0,0.0
CHARLES OLIVEIRA,0.0,0.0,0.0,5.0
CHARLES RADTKE,0.0,0.0,0.0,0.0
CHARLES ROSA,0.0,0.0,0.0,1.0
CHARLIE BRENNEMAN,0.0,0.0,0.0,2.0
CHARLIE CAMPBELL,0.0,0.0,0.0,1.0
CHAS SKELLY,0.0,0.0,0.0,1.0
CHASE HOOPER,0.0,0.0,0.0,3.0
CHASE SHERMAN,0.0,0.0,0.0,1.0
CHE MILLS,0.0,0.0,0.0,1.0
CHEICK KONGO,0.0,0.0,0.0,3.0
CHELSEA CHANDLER,0.0,0.0,0.0,0.0
CHEPE MARISCAL,0.0,0.0,0.0,0.0
CHEYANNE VLISMAS,0.0,0.0,0.0,0.0
CHICO CAMUS,0.0,0.0,0.0,0.0
CHIDI NJOKUANI,0.0,0.0,0.0,1.0
CHRIS BARNETT,0.0,0.0,0.0,0.0
CHRIS BEAL,0.0,0.0,0.0,1.0
CHRIS CAMOZZI,0.0,0.0,0.0,2.0
CHRIS CARIASO,0.0,0.0,0.0,3.0
CHRIS CLEMENTS,0.0,0.0,0.0,1.0
CHRIS COPE,0.0,0.0,0.0,0.0
CHRIS CURTIS,0.0,0.0,0.0,2.0
CHRIS DAUKAUS,0.0,0.0,0.0,1.0
CHRIS DE LA ROCHA,0.0,0.0,0.0,0.0
CHRIS DEMPSEY,0.0,0.0,0.0,0.0
CHRIS DUNCAN,0.0,0.0,0.0,0.0
CHRIS FISHGOLD,0.0,0.0,0.0,0.0
CHRIS GRUETZEMACHER,0.0,0.0,0.0,0.0
CHRIS GUTIERREZ,0.0,0.0,0.0,2.0
CHRIS HOLDSWORTH,0.0,0.0,0.0,0.0
CHRIS KELADES,0.0,0.0,0.0,0.0
CHRIS LEBEN,0.0,0.0,0.0,4.0
CHRIS LYTLE,0.0,0.0,0.0,3.0
CHRIS PADILLA,0.0,0.0,0.0,1.0
CHRIS TUCHSCHERER,0.0,0.0,0.0,0.0
CHRIS WADE,0.0,0.0,0.0,2.0
CHRIS WEIDMAN,0.0,0.0,0.0,3.0
CHRIS WILSON,0.0,0.0,0.0,0.0
CHRISTIAN AGUILERA,0.0,0.0,0.0,1.0
CHRISTIAN LEROY DUNCAN,0.0,0.0,0.0,2.0
CHRISTIAN MORECRAFT,0.0,0.0,0.0,0.0
CHRISTIAN RODRIGUEZ,0.0,0.0,0.0,0.0
CHRISTIAN WELLISCH,0.0,0.0,0.0,0.0
CHRISTOS GIAGOS,0.0,0.0,0.0,1.0
CHUCK LIDDELL,0.0,0.0,0.0,1.0
CIRYL GANE,0.0,0.0,0.0,3.0
CJ VERGARA,0.0,0.0,0.0,1.0
CLAUDE PATRICK,0.0,0.0,0.0,2.0
CLAUDIA GADELHA,0.0,0.0,0.0,1.0
CLAUDIO PUELLES,0.0,0.0,0.0,2.0
CLAUDIO RIBEIRO,0.0,0.0,0.0,0.0
CLAUDIO SILVA,0.0,0.0,0.0,0.0
CLAY COLLARD,0.0,0.0,0.0,0.0
CLAY GUIDA,0.0,0.0,0.0,3.0
CLAY HARVISON,0.0,0.0,0.0,0.0
CLAYTON CARPENTER,0.0,0.0,0.0,0.0
CLIFFORD STARKS,0.0,0.0,0.0,1.0
CLINT HESTER,0.0,0.0,0.0,1.0
CODY BRUNDAGE,0.0,0.0,0.0,1.0
CODY DONOVAN,0.0,0.0,0.0,0.0
CODY DURDEN,0.0,0.0,0.0,0.0
CODY GARBRANDT,0.0,0.0,0.0,0.0
CODY GIBSON,0.0,0.0,0.0,0.0
CODY HADDON,0.0,0.0,0.0,0.0
CODY MCKENZIE,0.0,0.0,0.0,1.0
CODY PFISTER,0.0,0.0,0.0,0.0
CODY STAMANN,0.0,0.0,0.0,1.0
COLBY COVINGTON,0.0,0.0,0.0,2.0
COLE MILLER,0.0,0.0,0.0,3.0
COLE SMITH,0.0,0.0,0.0,0.0
COLTON SMITH,0.0,0.0,0.0,1.0
CONOR MCGREGOR,0.0,0.0,0.0,1.0
CONSTANTINOS PHILIPPOU,0.0,0.0,0.0,0.0
COREY ANDERSON,0.0,0.0,0.0,1.0
COREY HILL,0.0,0.0,0.0,0.0
CORTNEY CASEY,0.0,0.0,0.0,2.0
CORY MCKENNA,0.0,0.0,0.0,0.0
CORY SANDHAGEN,0.0,0.0,0.0,2.0
COURT MCGEE,0.5,0.3333333333333333,0.4,3.0
CRISTIAN QUINONEZ,0.0,0.0,0.0,0.0
CRISTIANE JUSTINO,0.0,0.0,0.0,2.0
CRISTIANO MARCELLO,0.0,0.0,0.0,0.0
CUB SWANSON,0.0,0.0,0.0,3.0
CUNG LE,0.0,0.0,0.0,0.0
CURT WARBURTON,0.0,0.0,0.0,0.0
CURTIS BLAYDES,0.0,0.0,0.0,6.0
CURTIS MILLENDER,0.0,0.0,0.0,0.0
CYNTHIA CALVILLO,0.0,0.0,0.0,2.0
CYRIL ASKER,0.0,0.0,0.0,0.0
CYRILLE DIABATE,0.0,0.0,0.0,0.0
DA WOON JUNG,0.0,0.0,0.0,2.0
DA'MON BLACKSHEAR,0.0,0.0,0.0,2.0
DAICHI ABE,0.0,0.0,0.0,1.0
DALCHA LUNGIAMBULA,0.0,0.0,0.0,1.0
DALE HARTT,0.0,0.0,0.0,0.0
DAMARQUES JOHNSON,0.0,0.0,0.0,2.0
DAMIAN STASIAK,0.0,0.0,0.0,0.0
DAMIEN BROWN,0.0,0.0,0.0,0.0
DAMIR HADZOVIC,0.0,0.0,0.0,0.0
DAMIR ISMAGULOV,0.0,0.0,0.0,1.0
DAMON JACKSON,0.0,0.0,0.0,0.0
DAN ARGUETA,0.0,0.0,0.0,0.0
DAN BOBISH,0.0,0.0,0.0,0.0
DAN CHRISTISON,0.0,0.0,0.0,0.0
DAN CRAMER,0.0,0.0,0.0,0.0
DAN HARDY,0.0,0.0,0.0,3.0
DAN HENDERSON,0.0,0.0,0.0,2.0
DAN HOOKER,0.0,0.0,0.0,4.0
DAN IGE,0.0,0.0,0.0,2.0
DAN MILLER,0.0,0.0,0.0,2.0
DAN SEVERN,0.0,0.0,0.0,3.0
